id,date,year,gender,transfer,mental_health,social_distancing,drag_50,sexist_comment,support_eating,stop_svsh,receive_info,social_media_year,asian,black,latino,native hawaiian or pacific islander,white,other:,prefer not to answer,undergrad_student,1st_year,2nd_year,3rd_year,4th_year,5th_year_plus,bachelor_degree,no_college,some_college,read_daily,read_less_weekly,read_daily_more,read_weekly,write_daily,write_less_weekly,write_more_daily,write_weekly,outcome,treatment,recall
R_241s1PBhHLEk5Zx,2021-04-07 21:34:19,2000,1,0,45,41,50,41,32,33,11,upperclassmen_control,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,58,0,1
R_1LInCHYpUbN5JSW,2021-04-07 21:40:58,2000,1,0,60,41,50,43,51,76,0,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,15,1,1
R_eeP6pibw9IfnL7b,2021-04-07 17:56:37,2001,0,0,62,14,50,14,66,55,11,underclassmen_control,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,36,0,1
R_32MbiLAtvgYzUtr,2021-04-07 17:43:34,1996,1,1,52,25,50,30,10,66,11,upperclassmen_treatment,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,25,1,1
R_PwBXo9vrIRQ1zjP,2021-04-07 17:43:33,1998,1,0,93,11,50,54,77,74,11,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,17,0,1
R_pylG2jtAWpVqv7z,2021-04-07 21:21:01,2000,1,0,100,9,50,24,100,100,11,underclassmen_treatment,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,9,1,1
R_uaJBf9GXEPqGhQB,2021-04-07 21:59:07,1999,1,0,100,68,50,81,77,83,11,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,8,1,1
R_3R2toVjHQXoXujM,2021-04-07 22:07:27,2001,1,0,81,81,50,50,50,95,11,underclassmen_control,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,0,1
R_2B4ckUNwALw4l4F,2021-04-07 22:18:13,2000,1,0,85,10,50,60,80,91,0,underclassmen_treatment,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
R_ZftKkX5PpzR7K9j,2021-04-07 22:26:57,2000,1,0,81,49,50,65,49,85,11,upperclassmen_control,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,6,0,1
R_3g5Bx2RRMIYEOXk,2021-04-07 22:06:28,2001,0,0,61,21,50,50,61,73,0,underclassmen_control,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,18,0,1
R_eaeQSu0diHxXEoF,2021-04-07 19:26:18,1998,1,1,76,25,50,41,60,51,0,upperclassmen_treatment,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,40,1,1
R_1M5tqR4F5l8i6bD,2021-04-07 17:43:32,1999,1,0,92,49,50,52,70,91,0,upperclassmen_treatment,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
R_2S7UkYizCwHgcbg,2021-04-07 22:41:23,2002,1,0,72,35,50,53,50,41,11,underclassmen_control,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,50,0,1
R_3ptfvbSUAgnUgRX,2021-04-07 19:38:57,1999,1,0,61,8,50,20,67,87,11,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,4,0,1
R_s5mPvGQSTuRqK9b,2021-04-07 23:41:57,2000,1,0,89,85,50,76,60,86,11,underclassmen_treatment,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,1,1
R_3p46xDCrHjvSeEz,2021-04-08 00:22:18,1998,1,0,79,30,50,20,92,20,0,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,71,1,1
R_vTaihJ4i8CxUA5r,2021-04-07 06:46:33,1997,0,1,76,73,50,85,59,91,0,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
R_0js79IbJxViz1br,2021-04-07 17:41:21,1999,0,0,80,30,50,20,10,70,11,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,21,1,1
R_Bsry57zCyOkn4rf,2021-04-07 18:10:41,2001,1,0,90,35,50,84,40,74,11,underclassmen_treatment,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,17,1,0
R_1LoCz8U1QLPfvf7,2021-04-08 08:56:47,2000,1,0,62,21,50,29,31,47,11,underclassmen_control,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,44,0,1
